,channel_title,no_of_vids,trending_date,title,category_id,publish_time,views,likes,dislikes,comment_count,comments_disabled,Unnamed: 0,Category_name
0,The Tonight Show Starring Jimmy Fallon,208,17.14.11,Dance Battle with the Stranger Things Kids,23,2017-11-03T04:19:01.000Z,4210732,129667,856,4299,False,10,Comedy
1,Jimmy Kimmel Live,207,17.14.11,Guest Host Jennifer Lawrence Interviews Kim Kardashian West,23,2017-11-03T09:00:01.000Z,12924004,190116,16758,11083,False,10,Comedy
2,TheEllenShow,207,17.14.11,Ellen in Adam Levine’s Ear,24,2017-11-07T18:30:55.000Z,1101771,24917,464,936,False,11,Entertainment
3,Saturday Night Live,206,17.14.11,Taylor Swift: …Ready for It? (Live) - SNL,24,2017-11-12T06:24:44.000Z,1053632,25561,2294,2757,False,11,Entertainment
4,WWE,205,17.14.11,"Seth Rollins & Dean Ambrose vs. Cesaro & Sheamus - Raw Tag Team Title Match: Raw, Nov. 6, 2017",17,2017-11-07T04:52:25.000Z,1689382,24186,3330,3414,False,4,Sports
5,The Late Late Show with James Corden,202,17.14.11,The 'Stranger Things' Kids Were Nearly a Motown Super Group,24,2017-11-09T06:45:55.000Z,5541767,263918,1502,10706,False,11,Entertainment
6,Late Night with Seth Meyers,194,17.14.11,Jhené Aiko: While We're Young,23,2017-11-07T12:00:02.000Z,28202,770,30,63,False,10,Comedy
7,Breakfast Club Power 105.1 FM,193,17.14.11,"Miko Grimes Speaks Up For NFL Husband, Talks 'Baller Wives' Drama + More",24,2017-11-07T13:50:33.000Z,286408,3687,320,1604,False,11,Entertainment
8,The Late Show with Stephen Colbert,189,17.14.11,"Gun Violence Makes Us Feel Powerless, But We're Not",24,2017-11-07T04:58:21.000Z,1189325,21859,7016,11869,False,11,Entertainment
9,Netflix,187,17.28.11,Black Mirror - Arkangel | Official Trailer [HD] | Netflix,24,2017-11-25T14:30:01.000Z,2201357,24694,1482,2703,False,11,Entertainment
10,SMTOWN,178,17.14.11,Red Velvet 레드벨벳 'Peek-A-Boo' Teaser Part.1,10,2017-11-07T15:00:01.000Z,1962197,137132,2196,11809,False,2,Music
11,Warner Bros. Pictures,168,17.18.11,RAMPAGE - OFFICIAL TRAILER 1 [HD],24,2017-11-16T21:15:08.000Z,7797259,94546,8233,17122,False,11,Entertainment
12,RedLetterMedia,162,17.14.11,Half in the Bag Episode 134: Thor: Ragnarok,24,2017-11-05T23:12:16.000Z,411609,14285,517,3577,False,11,Entertainment
13,Movieclips Trailers,162,17.14.11,"I, Tonya Trailer #1 (2017) | Movieclips Trailers",1,2017-11-01T16:40:51.000Z,750287,8010,149,320,False,0,Film & Animation
14,BBC Radio 1,157,17.16.11,Clean Bandit - New Rules (Dua Lipa Cover) in the Radio 1 Live Lounge,10,2017-11-14T16:23:39.000Z,138228,5776,185,167,False,2,Music
15,jypentertainment,155,17.08.12,GOT7 Teenager” Performance Video,10,2017-12-06T15:00:01.000Z,1707477,261115,1029,19371,False,2,Music
16,PewDiePie,152,17.08.12,Why I'm not in YouTube Rewind 2017,23,2017-12-07T17:18:56.000Z,3901200,352166,4154,42468,False,10,Comedy
17,Marvel Entertainment,148,17.29.11,Avengers: Infinity War Trailer Tease,24,2017-11-28T17:09:22.000Z,3111226,127078,12403,18233,False,11,Entertainment
