name,value,year,lastValue,rank
CANADA,210478,2017,905,192
CANADA,200264,2017,2947,189
CANADA,960747,2017,31810,188
CANADA,100394,2017,1619,186
CANADA,549374,2017,16832,183
CANADA,387221,2017,2159,182
CANADA,286231,2017,2530,182
CANADA,756959,2017,9976,172
CANADA,403223,2017,2344,168
CANADA,170707,2017,1152,168
CANADA,971117,2017,50402,167
CANADA,2010343,2017,9400,165
CANADA,253224,2017,7432,163
CANADA,3597410,2017,128127,160
CANADA,343168,2017,10172,157
CANADA,187643,2017,9323,153
CANADA,347848,2017,10046,150
CANADA,166512,2017,3165,149
CANADA,72253,2017,1217,149
CANADA,1547309,2017,17913,148
CANADA,33167,2017,304,145
CANADA,103493,2017,594,144
CANADA,2765121,2017,35531,144
CANADA,1531218,2017,53961,143
CANADA,545806,2017,4193,141
CANADA,560691,2017,18085,139
CANADA,2736733,2017,58967,138
CANADA,1611093,2017,58474,137
CANADA,169967,2017,2164,133
CANADA,256426,2017,12656,133
CANADA,345406,2017,10141,131
CANADA,786155,2017,37126,128
CANADA,202125,2017,6055,127
CANADA,3153224,2017,28451,126
CANADA,404217,2017,2295,123
CANADA,148993,2017,5019,122
CANADA,250837,2017,3775,122
CANADA,116676,2017,4324,121
CANADA,226051,2017,1376,120
CANADA,375652,2017,23771,120
CANADA,291697,2017,2623,120
CANADA,501670,2017,28310,118
CANADA,306485,2017,9573,116
CANADA,158815,2017,218,116
CANADA,853635,2017,43655,115
CANADA,5718766,2017,127477,115
CANADA,2244679,2017,174921,115
CANADA,694624,2017,20783,114
CANADA,45662,2017,219,113
CANADA,817732,2017,23663,112
CANADA,2455165,2017,47921,111
CANADA,281350,2017,17626,110
CANADA,241896,2017,3049,110
CANADA,415387,2017,1010,109
CANADA,653398,2017,27773,108
CANADA,5541767,2017,263919,107
CANADA,116843,2017,575,106
CANADA,1846670,2017,26611,106
CANADA,308568,2017,19541,106
CANADA,533561,2017,15499,105
CANADA,374640,2017,17351,104
CANADA,623627,2017,47807,104
CANADA,2742984,2017,70743,104
CANADA,778516,2017,32322,103
CANADA,223871,2017,8422,102
CANADA,149076,2017,8060,101
CANADA,1309699,2017,103755,101
CANADA,70987,2017,889,99
CANADA,193241,2017,18731,97
CANADA,738561,2017,2519,97
CANADA,161971,2017,6130,97
CANADA,721066,2017,30576,93
CANADA,63344,2017,1075,92
CANADA,355233,2017,15095,91
CANADA,28808,2017,597,91
CANADA,1496225,2017,16116,90
CANADA,1419031,2017,63288,90
CANADA,187075,2017,2443,90
CANADA,339499,2017,3298,89
CANADA,61215,2017,2424,89
CANADA,240897,2017,13088,89
CANADA,235156,2017,13078,88
CANADA,211868,2017,5610,88
CANADA,102766,2017,294,85
CANADA,236040,2017,29389,85
CANADA,271606,2017,22787,85
CANADA,4752153,2017,48776,85
CANADA,59846,2017,517,84
CANADA,1529652,2017,63996,84
CANADA,577618,2017,37369,82
CANADA,150974,2017,220,82
CANADA,829132,2017,25110,82
CANADA,10588371,2017,132738,81
CANADA,57022,2017,316,80
CANADA,247481,2017,6318,80
CANADA,310614,2017,7560,80
CANADA,814126,2017,71050,79
CANADA,391642,2017,4378,79
CANADA,21331,2017,453,79
CANADA,352054,2017,11598,77
CANADA,530364,2017,24862,76
CANADA,1562510,2017,50710,76
CANADA,441753,2017,4539,74
CANADA,718255,2017,40206,74
CANADA,117022,2017,466,74
CANADA,49231,2017,3388,72
CANADA,370827,2017,12150,72
CANADA,404383,2017,2613,72
CANADA,721270,2017,25232,71
CANADA,549498,2017,11618,70
CANADA,352661,2017,3449,70
CANADA,36505,2017,1710,70
CANADA,3914524,2017,218328,70
CANADA,13433,2017,74,69
CANADA,248993,2017,10984,69
CANADA,159191,2017,1014,69
CANADA,397983,2017,5666,68
CANADA,14357,2017,21,68
CANADA,4204818,2017,187890,67
CANADA,269184,2017,23209,67
CANADA,325851,2017,8998,66
CANADA,748374,2017,57534,66
CANADA,650469,2017,17003,66
CANADA,207532,2017,7473,64
CANADA,458964,2017,4903,63
CANADA,212803,2017,4134,63
CANADA,47527,2017,3665,62
