channel_title,no_of_vids,trending_date,title,category_id,publish_time,views,likes,dislikes,comment_count,comments_disabled
DHCテレビ,169,18.07.02,【DHC】2/6(火) 百田尚樹×和田政宗×居島一平【スカイプゲスト：我那覇真子】,24,2018-02-06T01:25:07.000Z,245032,3020,222,0,True
釣りよかでしょう。,145,18.09.02,釣ってきたアジとアラカブでシーフードピザを作る！,17,2018-02-08T11:00:11.000Z,155479,1773,128,258,False
釣りよか飯,108,18.12.02,そんな所が食べられるの！？牛の尻尾入りカレー！！,22,2018-02-11T10:00:03.000Z,77212,1732,77,269,False
MEGWIN TV,90,18.16.02,【DIY】レンガで本格ピザ窯を作る！【三日目:焼き床切断】,23,2018-02-15T10:30:00.000Z,181414,3111,139,488,False
はいじぃ迷作劇場,88,18.07.02,究極の激ウマ丼の作り方。,19,2018-02-06T06:30:00.000Z,105112,1547,540,499,False
MAX鈴木 TV,87,18.09.02,【⚠️閲注、早食い】【大食い】ペンネアラビアータ（3kg）30分チャレンジ‼️【MAX鈴木】【マックス鈴木】,24,2018-02-08T11:00:01.000Z,47210,500,155,142,False
今日ヤバイ奴に会った,84,18.09.02,インドの揚げパンケーキ マルプアの作り方 / Indian Malpua,22,2018-02-08T09:05:21.000Z,88607,2590,39,512,False
水溜りボンド,82,18.10.02,【壮絶】ディズニーシーの乗り物って一日で全部乗れるの？,24,2018-02-09T12:36:37.000Z,463321,14074,260,2195,False
釣りよかHOUSE,76,18.09.02,コストコで5000円分の韓国料理を食べてみた！！,24,2018-02-07T10:10:37.000Z,163743,1885,179,357,False
Momo and Tenももと天,76,18.24.02,端っこに座るのが好きな猫 My cat likes to sit in a corner,15,2018-02-23T10:55:44.000Z,21351,1239,6,272,False
ブチかまし,75,18.10.02,【大食い】7種の揚げ物を玉子とじ丼にしてデブ飯食らう！！,24,2018-02-09T13:18:18.000Z,23034,286,39,46,False
釣りいろは,74,18.11.02,まさかの展開と空からの攻撃…,17,2018-02-10T09:00:03.000Z,121426,1516,185,175,False
AbemaTV公式 YouTube,71,18.10.02,【武尊・独占】「逆境の中で優勝することが見ている人のパワーになる」｜K-1GP 2018－K'FESTA.1－ 3/21(水)ひる1時からアベマTVで生中継！,24,2018-02-09T09:00:34.000Z,56670,267,39,272,False
TV Derana,69,18.10.02,Deweni Inima | Episode 265 09th February 2018,24,2018-02-09T15:30:01.000Z,294388,1812,238,352,False
ANNnewsCH,65,18.08.02,台湾でM6.0地震　ホテルなど複数の建物が倒壊(18/02/07),25,2018-02-06T21:19:11.000Z,41437,104,20,0,True
avex,62,18.20.02,RYUJI IMAICHI / Angel（Music Video),10,2018-02-19T09:00:02.000Z,334470,9793,696,1217,False
Touch Play,59,18.24.02,坂本勇人イ・スンヨプとの珍話語る「韓国料理」【ズムサタ】2月24日 プロ野球熱血情報2018　巨人,22,2018-02-23T23:42:56.000Z,61798,255,40,123,False
恭チャンネル,59,18.10.02,【歌ってみた】Over Soul / 林原めぐみ covered by 恭一郎,24,2018-02-09T11:00:03.000Z,99677,2133,344,489,False
kattyanneru/かっちゃんねる,57,18.07.02,業務用スーパーのおすすめ品でアレンジご飯【kattyanneru】,26,2018-02-06T08:00:02.000Z,51006,1044,87,156,False
Kohachannel,56,18.11.02,柴犬小春　【検証】食事の横にラップをしたドッグフードが置かれていたらどうなる！？,15,2018-02-10T09:21:18.000Z,37961,546,72,173,False
MLG Highlights,56,18.08.02,Golden State Warriors vs Oklahoma City Thunder Full Game Highlights / Feb 6 / 2017-18 NBA Season,17,2018-02-07T06:14:29.000Z,2314506,14001,706,4183,False
ハイサイ探偵団,56,18.09.02,EP5 無人島で1つだけ持っていけるとしたら何を持って行きますか？,17,2018-02-08T11:00:03.000Z,92767,1627,862,1548,False
baseball baseball3,55,18.25.02,2018.2.25 大谷翔平 オープン戦初登板！投球全球 エンゼルス vs ブリュワーズ Los Angeles Angels Shohei Ohtani,17,2018-02-24T21:49:39.000Z,19538,0,0,189,False
へきトラハウス,53,18.14.02,【面白すぎ】感電ビリビリ竹内涼真ゲーム!!!!!!!,22,2018-02-13T14:51:37.000Z,223042,8114,467,977,False
ヒカル（Hikaru）,52,18.08.03,政府からの要請？経済産業省の官僚から呼び出されたので行ってみた,24,2018-03-07T09:54:26.000Z,1029516,27225,19503,7103,False
