,category_id,Category_name
0,1,Film & Animation
1,2,Autos & Vehicles
2,10,Music
3,15,Pets & Animals
4,17,Sports
5,18,Short Movies
6,19,Travel & Events
7,20,Gaming
8,21,Videoblogging
9,22,People & Blogs
10,23,Comedy
11,24,Entertainment
12,25,News & Politics
13,26,Howto & Style
14,27,Education
15,28,Science & Technology
16,29,Nonprofits & Activism
17,30,Movies
18,31,Anime/Animation
19,32,Action/Adventure
20,33,Classics
21,34,Comedy
22,35,Documentary
23,36,Drama
24,37,Family
25,38,Foreign
26,39,Horror
27,40,Sci-Fi/Fantasy
28,41,Thriller
29,42,Shorts
30,43,Shows
31,44,Trailers
